rank,h3_index,city,tier,opportunity_score,lat,lon,h3_cell_acres,project_acres,dist_to_center_km,property_type,land_value_current,total_dev_cost,equity_required,buildable_sqft,noi_year1,noi_year5,stabilised_value,exit_value_yr5,exit_cap_rate,est_irr_pct,equity_multiple,value_uplift
29,8848eba4b5fffff,phoenix,Tier 1 � Top 10%,0.6552,33.4888,-111.9692,210.8,9.0,10.7,unknown,2404899,31559220,11045727,156816,1895905,2197874,35109360,40701371,0.054,13.98,2.83,38296472
30,8848e96811fffff,phoenix,Tier 1 � Top 10%,0.6548,33.3489,-112.1327,210.9,10.1,12.3,unknown,685780,35416458,12395760,175982,2127627,2466503,39400504,45675983,0.054,13.98,2.83,44990203
31,8848ebb881fffff,phoenix,Tier 1 � Top 10%,0.6546,33.2928,-111.6424,211.3,29.8,43.7,unknown,998389,104496084,36573629,519235,6277554,7277405,116250992,134766761,0.054,13.98,2.83,133768372
32,8848eb321bfffff,phoenix,Tier 1 � Top 10%,0.6546,33.5263,-111.6436,210.9,28.1,40.8,unknown,944104,98534898,34487214,489614,5919438,6862251,109619224,127078724,0.054,13.98,2.83,126134621
33,8848ebb8c1fffff,phoenix,Tier 1 � Top 10%,0.6546,33.2693,-111.6433,211.3,30.3,44.7,unknown,1014111,106249374,37187281,527947,6382882,7399509,118201512,137027948,0.054,13.98,2.83,136013838
34,8848e962e5fffff,phoenix,Tier 1 � Top 10%,0.6544,33.236,-112.3229,211.0,23.5,33.1,unknown,795734,82404630,28841620,409464,4950420,5738893,91674440,106275802,0.054,13.98,2.83,105480068
35,8829b6cd49fffff,phoenix,Tier 1 � Top 10%,0.6543,33.8084,-112.0209,210.2,27.8,40.3,unknown,934497,97482924,34119023,484387,5856241,6788989,108448912,125722012,0.054,13.98,2.83,124787515
36,8848e9613dfffff,phoenix,Tier 1 � Top 10%,0.6541,33.2845,-112.2018,211.0,16.4,21.7,unknown,561634,57507912,20127769,285754,3454761,4005015,63977056,74166942,0.054,13.98,2.83,73605308
37,8848eb35d5fffff,phoenix,Tier 1 � Top 10%,0.6541,33.7077,-111.7387,210.5,29.0,42.4,unknown,972834,101690820,35591787,505296,6109029,7082039,113130160,131148862,0.054,13.98,2.83,130176028
38,8848e979a5fffff,phoenix,Tier 1 � Top 10%,0.654,33.2434,-112.0521,211.1,17.2,22.9,unknown,588360,60313176,21109612,299693,3623286,4200381,67097888,77784842,0.054,13.98,2.83,77196482
39,8829b6cf29fffff,phoenix,Tier 1 � Top 10%,0.6539,33.7849,-112.0217,210.2,26.2,37.7,unknown,883019,91872396,32155339,456509,5519191,6398255,102207248,118486213,0.054,13.98,2.83,117603194
40,8848eb35edfffff,phoenix,Tier 1 � Top 10%,0.6539,33.6985,-111.6932,210.5,30.5,44.9,unknown,1020560,106950690,37432741,531432,6425013,7448351,118981720,137932423,0.054,13.98,2.83,136911863
41,8848e96059fffff,phoenix,Tier 1 � Top 10%,0.6539,33.2375,-112.3123,211.0,23.0,32.2,unknown,779424,80651340,28227969,400752,4845092,5616789,89723920,104014614,0.054,13.98,2.83,103235190
42,8848ebb68bfffff,phoenix,Tier 1 � Top 10%,0.6538,33.2395,-112.0242,211.2,17.7,23.7,unknown,604986,62066466,21723263,308405,3728614,4322486,69048408,80046029,0.054,13.98,2.83,79441043
43,8829b6cf05fffff,phoenix,Tier 1 � Top 10%,0.6538,33.7834,-112.0324,210.2,26.1,37.5,unknown,879883,91521738,32032608,454766,5498126,6373835,101817144,118033975,0.054,13.98,2.83,117154092
44,8829b6c0b9fffff,phoenix,Tier 1 � Top 10%,0.6537,33.7283,-112.1473,210.2,22.8,31.9,unknown,772943,79950024,27982508,397267,4802960,5567948,88943712,103110139,0.054,13.98,2.83,102337197
45,8848ebaa13fffff,phoenix,Tier 1 � Top 10%,0.6536,33.3702,-111.6463,211.1,28.0,40.6,unknown,940940,98184240,34364484,487872,5898372,6837830,109229120,126626487,0.054,13.98,2.83,125685547
46,8848ebb637fffff,phoenix,Tier 1 � Top 10%,0.6536,33.225,-111.9615,211.2,19.8,27.0,unknown,722462,69430284,24300599,344995,4170992,4835323,77240592,89543016,0.054,13.98,2.83,88820553
47,8848e96187fffff,phoenix,Tier 1 � Top 10%,0.6535,33.324,-112.2531,210.9,16.3,21.6,unknown,558275,57157254,20005039,284011,3433695,3980594,63586952,73714705,0.054,13.98,2.83,73156430
48,8829b6ced5fffff,phoenix,Tier 1 � Top 10%,0.6535,33.8093,-112.1797,210.1,28.4,41.3,unknown,953729,99586872,34855405,494842,5982635,6935514,110789536,128435437,0.054,13.98,2.83,127481708
