rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
46,88489e35a3fffff,0.7109,207.9,9.4,residential,212249,9,30.3479,-97.7151,Tier 1 — Top 10%
47,88489e3299fffff,0.7106,208.1,10.3,residential,137047,9,30.1779,-97.7145,Tier 1 — Top 10%
48,88489eade5fffff,0.7095,208.1,12.6,residential,76362,9,30.1542,-97.7283,Tier 1 — Top 10%
49,88489e3293fffff,0.7088,208.1,8.6,unknown,208079,12,30.1933,-97.7155,Tier 1 — Top 10%
50,88489e35a5fffff,0.7088,207.9,9.2,commercial,180847,16,30.3407,-97.6993,Tier 1 — Top 10%
51,88489e34abfffff,0.7073,208.0,9.1,residential,185955,9,30.3375,-97.7912,Tier 1 — Top 10%
52,88489e349dfffff,0.7069,208.1,10.8,residential,121313,9,30.3364,-97.8218,Tier 1 — Top 10%
53,88489e31dbfffff,0.7062,207.9,12.9,industrial,70930,12,30.2198,-97.6201,Tier 1 — Top 10%
54,88489e2295fffff,0.7061,207.9,11.3,residential,161853,9,30.3493,-97.6743,Tier 1 — Top 10%
55,88489e329bfffff,0.7061,208.1,9.4,open_space,173609,0,30.1855,-97.7201,Tier 1 — Top 10%
56,88489eadd7fffff,0.7059,208.2,11.6,vacant,98822,0,30.1679,-97.7803,Tier 1 — Top 10%
57,88489e22cdfffff,0.7054,207.9,8.8,residential,197546,9,30.3034,-97.6612,Tier 1 — Top 10%
58,88489e22e3fffff,0.7050,207.8,11.4,multifamily,105390,20,30.3270,-97.6473,Tier 1 — Top 10%
59,88489e228bfffff,0.7043,207.9,10.0,commercial,147998,16,30.3339,-97.6733,Tier 1 — Top 10%
60,88489e2751fffff,0.7037,207.9,12.5,commercial,414655,16,30.3784,-97.7273,Tier 1 — Top 10%
61,88489e32a3fffff,0.7033,208.0,11.4,NaN,0,0,30.1872,-97.6691,Tier 1 — Top 10%
62,88489eaca1fffff,0.7032,208.2,11.9,residential,90843,9,30.1747,-97.8063,Tier 1 — Top 10%
63,88489eac87fffff,0.7029,208.3,13.1,residential,67814,9,30.1739,-97.8267,Tier 1 — Top 10%
64,88489e301bfffff,0.7025,208.0,12.6,open_space,76295,0,30.1879,-97.6487,Tier 1 — Top 10%
65,88489ead99fffff,0.7020,208.2,11.0,residential,114947,9,30.1754,-97.7859,Tier 1 — Top 10%
66,88489e35b1fffff,0.7018,207.9,9.8,residential,246121,9,30.3551,-97.7309,Tier 1 — Top 10%
67,88489e2299fffff,0.7009,207.9,9.7,residential,160368,9,30.3411,-97.6891,Tier 1 — Top 10%
68,88489e361bfffff,0.7005,208.2,9.1,commercial,184455,16,30.2356,-97.8307,Tier 1 — Top 10%
69,88489e22e9fffff,0.7005,207.8,10.5,residential,129658,9,30.3116,-97.6463,Tier 1 — Top 10%
70,88489e30adfffff,0.7004,207.9,12.1,residential,87045,9,30.2274,-97.6257,Tier 1 — Top 10%
71,88489e2261fffff,0.6999,207.8,13.5,residential,61741,9,30.2668,-97.6026,Tier 1 — Top 10%
72,88489e2761fffff,0.6997,207.8,13.1,residential,255761,9,30.3722,-97.6809,Tier 1 — Top 10%
73,88489e2053fffff,0.6992,207.8,13.9,industrial,63922,12,30.3356,-97.6223,Tier 1 — Top 10%
74,88489e348bfffff,0.6992,208.1,9.8,vacant,154687,0,30.3289,-97.8162,Tier 1 — Top 10%
75,88489e31d1fffff,0.6983,207.9,13.8,industrial,56848,12,30.2202,-97.6099,Tier 1 — Top 10%
76,88489e32c3fffff,0.6979,208.1,13.2,industrial,66688,12,30.1553,-97.6978,Tier 1 — Top 10%
77,884898cb2dfffff,0.6969,208.1,12.0,residential,88991,9,30.3278,-97.8469,Tier 1 — Top 10%
78,88489e22d3fffff,0.6968,207.9,8.7,residential,202717,9,30.3332,-97.6937,Tier 1 — Top 10%
79,88489eadd5fffff,0.6967,208.2,12.3,residential,83882,9,30.1603,-97.7747,Tier 1 — Top 10%
80,88489e22a3fffff,0.6959,207.8,13.3,residential,108040,9,30.3503,-97.6437,Tier 1 — Top 10%
81,88489e36cbfffff,0.6939,208.2,10.6,residential,126150,9,30.2503,-97.8521,Tier 1 — Top 10%
82,88489eaca9fffff,0.6939,208.3,12.9,residential,71083,9,30.1668,-97.8109,Tier 1 — Top 10%
83,88489e22a9fffff,0.6933,207.8,12.2,residential,85065,9,30.3349,-97.6427,Tier 1 — Top 10%
84,88489e2749fffff,0.6932,207.9,10.3,residential,249239,9,30.3558,-97.7105,Tier 1 — Top 10%
85,88489e30b9fffff,0.6926,207.9,8.7,industrial,203547,12,30.2417,-97.6573,Tier 1 — Top 10%
86,88489e34d5fffff,0.6919,208.1,9.6,residential,164693,9,30.3210,-97.8208,Tier 1 — Top 10%
87,88489e2769fffff,0.6915,207.9,12.1,residential,240412,9,30.3644,-97.6855,Tier 1 — Top 10%
88,88489eadb1fffff,0.6905,208.1,8.5,residential,216743,9,30.1919,-97.7563,Tier 1 — Top 10%
89,88489e3089fffff,0.6903,208.0,9.6,vacant,164088,0,30.2184,-97.6609,Tier 1 — Top 10%
90,88489ead33fffff,0.6895,208.1,13.5,residential,60979,9,30.1467,-97.7227,Tier 1 — Top 10%
91,88489e34b5fffff,0.6891,208.0,10.6,residential,126093,9,30.3529,-97.7922,Tier 1 — Top 10%
92,88489e275bfffff,0.6886,207.9,12.3,residential,381888,9,30.3780,-97.7375,Tier 1 — Top 10%
93,88489ead45fffff,0.6886,208.2,19.6,NaN,0,0,30.0929,-97.7142,Tier 1 — Top 10%
94,88489eaec3fffff,0.6885,208.4,22.8,NaN,0,0,30.0949,-97.8727,Tier 1 — Top 10%
95,88489ead69fffff,0.6884,208.2,19.7,NaN,0,0,30.0933,-97.7040,Tier 1 — Top 10%
96,88489e06b1fffff,0.6883,207.9,27.9,NaN,0,0,30.0913,-97.5355,Tier 1 — Top 10%
97,88489e22d1fffff,0.6882,207.9,8.4,residential,221964,9,30.3256,-97.6881,Tier 1 — Top 10%
98,88489e2203fffff,0.6882,207.8,11.2,residential,110336,9,30.2890,-97.6296,Tier 1 — Top 10%
99,88489e22d7fffff,0.6880,207.9,9.3,commercial,174523,16,30.3335,-97.6835,Tier 1 — Top 10%
100,88489ea8b3fffff,0.6880,208.1,20.1,NaN,0,0,30.0940,-97.6837,Tier 1 — Top 10%
101,88489e06bbfffff,0.6879,207.9,27.3,NaN,0,0,30.0910,-97.5457,Tier 1 — Top 10%
102,88489eacadfffff,0.6878,208.2,12.4,residential,80570,9,30.1671,-97.8007,Tier 1 — Top 10%
103,88489eaeebfffff,0.6876,208.4,21.8,NaN,0,0,30.0957,-97.8523,Tier 1 — Top 10%
