rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier,developable,developable_frac,exclusion_reasons,feature_completeness,boundary_dist_km,boundary_rings,edge_flagged,score_raw
46,88489e35a3fffff,0.9480122324159022,207.9,9.4,residential,212249,9,30.3479,-97.7151,Tier 1 — Top 10%,True,1.0,,1.0,25.447937778905647,27,False,0.7109
47,88489e3299fffff,0.9464831804281345,208.1,10.3,residential,137047,9,30.1779,-97.7145,Tier 1 — Top 10%,True,1.0,,1.0,8.671827999999959,9,False,0.7106
48,88489eade5fffff,0.944954128440367,208.1,12.6,residential,76362,9,30.1542,-97.7283,Tier 1 — Top 10%,True,1.0,,1.0,6.03354399999978,6,False,0.7095
49,88489e3293fffff,0.9426605504587156,208.1,8.6,unknown,208079,12,30.1933,-97.7155,Tier 1 — Top 10%,True,1.0,,1.0,10.386155999999918,11,False,0.7088
50,88489e35a5fffff,0.9426605504587156,207.9,9.2,commercial,180847,16,30.3407,-97.6993,Tier 1 — Top 10%,True,1.0,,1.0,26.794723999999643,29,False,0.7088
53,88489e31dbfffff,0.9403669724770642,207.9,12.9,industrial,70930,12,30.2198,-97.6201,Tier 1 — Top 10%,True,1.0,,1.0,13.336135999999767,14,False,0.7062
54,88489e2295fffff,0.9380733944954128,207.9,11.3,residential,161853,9,30.3493,-97.6743,Tier 1 — Top 10%,True,1.0,,1.0,26.350583127812868,28,False,0.7061
55,88489e329bfffff,0.9380733944954128,208.1,9.4,open_space,173609,0,30.1855,-97.7201,Tier 1 — Top 10%,True,1.0,,1.0,9.517859999999965,10,False,0.7061
56,88489eadd7fffff,0.9357798165137615,208.2,11.6,vacant,98822,0,30.1679,-97.7803,Tier 1 — Top 10%,True,1.0,,1.0,7.558627999999785,8,False,0.7059
57,88489e22cdfffff,0.9342507645259939,207.9,8.8,residential,197546,9,30.3034,-97.6612,Tier 1 — Top 10%,True,1.0,,1.0,22.64248799999983,24,False,0.7054
58,88489e22e3fffff,0.9327217125382263,207.8,11.4,multifamily,105390,20,30.327,-97.6473,Tier 1 — Top 10%,True,1.0,,1.0,23.762244707095103,25,False,0.705
59,88489e228bfffff,0.9311926605504587,207.9,10.0,commercial,147998,16,30.3339,-97.6733,Tier 1 — Top 10%,True,1.0,,1.0,26.037747999999826,28,False,0.7043
60,88489e2751fffff,0.9296636085626911,207.9,12.5,commercial,414655,16,30.3784,-97.7273,Tier 1 — Top 10%,True,1.0,,1.0,24.268360722522985,26,False,0.7037
62,88489eaca1fffff,0.9281345565749235,208.2,11.9,residential,90843,9,30.1747,-97.8063,Tier 1 — Top 10%,True,1.0,,1.0,8.315603999999999,9,False,0.7032
