rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier,developable,developable_frac,exclusion_reasons,feature_completeness,boundary_dist_km,boundary_rings,edge_flagged,score_raw
50,8848ebb689fffff,0.9548472775564409,211.2,24.6,unknown,34150,12,33.2327,-112.0174,Tier 1 — Top 10%,True,1.0,,1.0,3.6401639999998214,3,False,0.6533
51,8848ebb183fffff,0.953519256308101,211.3,38.6,unknown,55170,12,33.2311,-111.7503,Tier 1 — Top 10%,True,1.0,,1.0,3.4620519999994457,3,False,0.6532
53,8848e979b9fffff,0.952191235059761,211.1,22.6,unknown,34217,12,33.2457,-112.0907,Tier 1 — Top 10%,True,1.0,,1.0,5.0873239999996125,5,False,0.6531
55,8848ebba95fffff,0.950199203187251,211.3,42.6,unknown,33539,12,33.2482,-111.6829,Tier 1 — Top 10%,True,1.0,,1.0,3.062900917511921,3,False,0.653
56,8848ebb0b7fffff,0.950199203187251,211.3,33.1,unknown,120141,12,33.2457,-111.8131,Tier 1 — Top 10%,True,1.0,,1.0,5.0873239999996125,5,False,0.653
62,8848e96129fffff,0.9482071713147411,211.0,22.4,unknown,34224,12,33.2709,-112.1882,Tier 1 — Top 10%,True,1.0,,1.0,7.892587999999402,8,False,0.6527
63,8848e9605bfffff,0.9455511288180611,211.0,32.1,unknown,33892,12,33.2443,-112.3191,Tier 1 — Top 10%,True,1.0,,1.0,2.876834696840693,3,False,0.6525
64,8848e9605dfffff,0.9455511288180611,211.0,31.5,unknown,33915,12,33.239,-112.3017,Tier 1 — Top 10%,True,1.0,,1.0,4.341479999999374,4,False,0.6525
66,8848e962e7fffff,0.9455511288180611,211.0,33.0,unknown,33864,12,33.2428,-112.3297,Tier 1 — Top 10%,True,1.0,,1.0,1.8899917961256665,2,False,0.6525
68,8848ebace5fffff,0.9422310756972112,210.8,29.7,unknown,33976,12,33.5322,-111.7703,Tier 1 — Top 10%,True,0.5318,tribal,1.0,11.163073100270818,12,False,0.6521
69,8848e9612bfffff,0.9422310756972112,211.0,22.1,unknown,34236,12,33.2777,-112.195,Tier 1 — Top 10%,True,1.0,,1.0,8.64956400000001,9,False,0.6521
70,8829b6c5e1fffff,0.9402390438247012,210.1,40.9,unknown,33597,12,33.7964,-112.2155,Tier 1 — Top 10%,True,1.0,,1.0,5.966752000000331,6,False,0.652
73,8829b6d08bfffff,0.9389110225763613,210.6,13.6,unknown,79779,12,33.5474,-112.1608,Tier 1 — Top 10%,True,1.0,,1.0,17.553466702366546,19,False,0.6518
74,8848ebb427fffff,0.9375830013280213,211.2,24.9,unknown,114113,12,33.2711,-111.9105,Tier 1 — Top 10%,True,1.0,,1.0,7.9148519999993505,8,False,0.6515
75,8829b6ce95fffff,0.9362549800796812,210.0,43.8,unknown,33498,12,33.8327,-112.1789,Tier 1 — Top 10%,True,1.0,,1.0,1.925835999999862,2,False,0.6513
78,8848e961bbfffff,0.9335989375830013,210.9,21.7,unknown,34247,12,33.3376,-112.2667,Tier 1 — Top 10%,True,1.0,,1.0,7.747062238340461,8,False,0.6511
79,8848ebb5c9fffff,0.9335989375830013,211.2,23.9,unknown,110272,12,33.278,-111.9173,Tier 1 — Top 10%,True,1.0,,1.0,8.682959999999538,9,False,0.6511
80,8848e96135fffff,0.9335989375830013,211.0,20.8,unknown,34280,12,33.2929,-112.198,Tier 1 — Top 10%,True,1.0,,1.0,10.341628000000021,11,False,0.6511
81,8848ebbac3fffff,0.9309428950863213,211.4,44.9,unknown,33461,12,33.2178,-111.677,Tier 1 — Top 10%,True,1.0,,1.0,1.9814959999993367,2,False,0.651
83,8848e962edfffff,0.9289508632138114,211.0,34.0,unknown,33830,12,33.2276,-112.3267,Tier 1 — Top 10%,True,1.0,,1.0,2.1696780591839815,2,False,0.6509
84,8829b6d2d5fffff,0.9289508632138114,210.7,11.5,unknown,80733,12,33.4808,-112.1914,Tier 1 — Top 10%,True,1.0,,1.0,14.725812350510772,15,False,0.6509
85,8829b6d0c3fffff,0.9269588313413014,210.6,12.1,unknown,70507,12,33.5323,-112.1578,Tier 1 — Top 10%,True,1.0,,1.0,17.834914117145974,19,False,0.6508
88,8848eba151fffff,0.9243027888446215,211.2,35.9,unknown,87993,12,33.3296,-111.7148,Tier 1 — Top 10%,True,1.0,,1.0,6.027079676172123,6,False,0.6507
89,8848ebb631fffff,0.9243027888446215,211.2,27.7,unknown,34044,12,33.2166,-111.9653,Tier 1 — Top 10%,True,1.0,,1.0,1.847911999999648,2,False,0.6507
90,8848ebb68dfffff,0.9243027888446215,211.2,24.6,unknown,34148,12,33.2342,-112.0068,Tier 1 — Top 10%,True,1.0,,1.0,3.8071439999998278,4,False,0.6507
91,8848ebb73bfffff,0.9216467463479415,211.3,29.5,unknown,68586,12,33.2256,-111.9017,Tier 1 — Top 10%,True,1.0,,1.0,2.849791999999686,3,False,0.6505
92,8848e968ddfffff,0.9203187250996016,210.9,13.0,unknown,59037,12,33.3664,-112.1743,Tier 1 — Top 10%,True,1.0,,1.0,16.335037088756504,17,False,0.6504
95,8848e96163fffff,0.9189907038512616,211.0,23.4,unknown,34190,12,33.2625,-112.192,Tier 1 — Top 10%,True,1.0,,1.0,6.9575,7,False,0.6503
96,8848e96de5fffff,0.9176626826029216,210.7,13.4,unknown,54680,12,33.4695,-112.2164,Tier 1 — Top 10%,True,1.0,,1.0,12.406211363286687,13,False,0.6502
99,8848e96d4bfffff,0.9150066401062417,210.8,13.9,unknown,49993,12,33.4073,-112.2151,Tier 1 — Top 10%,True,1.0,,1.0,12.535913790139814,13,False,0.65
102,8848ebb5c1fffff,0.9150066401062417,211.1,23.4,unknown,123238,12,33.2863,-111.9135,Tier 1 — Top 10%,True,1.0,,1.0,9.606915999999362,10,False,0.65
103,8848e96165fffff,0.9150066401062417,211.0,23.2,unknown,34196,12,33.2572,-112.1746,Tier 1 — Top 10%,True,1.0,,1.0,6.367503999999397,6,False,0.65
105,8829b6c1a5fffff,0.9110225763612217,210.3,32.3,unknown,33888,12,33.7365,-112.0341,Tier 1 — Top 10%,True,1.0,,1.0,12.634820000000214,13,False,0.6496
107,8848e978a7fffff,0.9110225763612217,211.1,23.8,unknown,34174,12,33.2397,-112.1331,Tier 1 — Top 10%,True,1.0,,1.0,4.419403999999587,4,False,0.6496
108,8848ebb1a3fffff,0.9110225763612217,211.3,39.7,unknown,46502,12,33.2424,-111.7253,Tier 1 — Top 10%,True,1.0,,1.0,4.719968000000073,5,False,0.6496
109,8829b6c43dfffff,0.9070385126162018,210.1,39.3,unknown,33649,12,33.7669,-112.2589,Tier 1 — Top 10%,True,1.0,,1.0,8.43048064122922,9,False,0.6493
111,8848ebb6c7fffff,0.9070385126162018,211.2,25.4,unknown,34120,12,33.2258,-112.0106,Tier 1 — Top 10%,True,1.0,,1.0,2.8720559999996342,3,False,0.6493
113,8829b6cf21fffff,0.9070385126162018,210.2,38.7,unknown,33670,12,33.7933,-112.0179,Tier 1 — Top 10%,True,1.0,,1.0,6.3118439999999225,6,False,0.6493
114,8848eba6c9fffff,0.9043824701195219,210.9,10.1,unknown,106334,12,33.3737,-112.0122,Tier 1 — Top 10%,True,0.9472,protected,1.0,19.336283999999623,20,False,0.6492
115,8848ebb423fffff,0.9023904382470119,211.2,24.4,unknown,97621,12,33.2696,-111.9211,Tier 1 — Top 10%,True,1.0,,1.0,7.747871999999344,8,False,0.649
116,8829b6cf51fffff,0.9023904382470119,210.2,35.8,unknown,33767,12,33.7706,-112.0682,Tier 1 — Top 10%,True,1.0,,1.0,8.838807999999965,9,False,0.649
117,8829b6cf53fffff,0.899734395750332,210.2,36.6,unknown,33741,12,33.7774,-112.075,Tier 1 — Top 10%,True,1.0,,1.0,8.081832000000148,8,False,0.6488
119,8848ebb681fffff,0.899734395750332,211.2,23.7,unknown,34178,12,33.241,-112.0136,Tier 1 — Top 10%,True,1.0,,1.0,4.564119999999646,4,False,0.6488
121,8829b6db67fffff,0.897742363877822,210.8,22.5,unknown,123342,12,33.5287,-111.8515,Tier 2 — Top 25%,True,1.0,,1.0,18.698672346973094,20,False,0.6485
127,8848ebb717fffff,0.896414342629482,211.3,29.1,unknown,61157,12,33.2241,-111.9123,Tier 2 — Top 25%,True,1.0,,1.0,2.6828119999996796,2,False,0.6483
130,8829b6cad5fffff,0.8944223107569721,210.3,31.3,unknown,33922,12,33.7244,-112.0099,Tier 2 — Top 25%,True,1.0,,1.0,13.981791999999844,15,False,0.6478
133,8829b6c59dfffff,0.8944223107569721,210.0,44.0,unknown,33491,12,33.8138,-112.2572,Tier 2 — Top 25%,True,1.0,,1.0,4.0297840000001,4,False,0.6478
