rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
55,8848ebba95fffff,0.6530,211.3,42.6,unknown,33539,12,33.2482,-111.6829,Tier 1 — Top 10%
56,8848ebb0b7fffff,0.6530,211.3,33.1,unknown,120141,12,33.2457,-111.8131,Tier 1 — Top 10%
57,8829b6c927fffff,0.6529,210.3,43.4,unknown,33513,12,33.7746,-111.8173,Tier 1 — Top 10%
58,8848eb2657fffff,0.6529,210.4,43.5,unknown,33507,12,33.7624,-111.7931,Tier 1 — Top 10%
59,8829b6c897fffff,0.6528,210.2,41.3,unknown,33583,12,33.8129,-111.9889,Tier 1 — Top 10%
60,8848e9621dfffff,0.6528,211.0,35.9,unknown,33763,12,33.2041,-112.3275,Tier 1 — Top 10%
61,8829b6c925fffff,0.6527,210.4,43.1,unknown,33522,12,33.7678,-111.8105,Tier 1 — Top 10%
62,8848e96129fffff,0.6527,211.0,22.4,unknown,34224,12,33.2709,-112.1882,Tier 1 — Top 10%
63,8848e9605bfffff,0.6525,211.0,32.1,unknown,33892,12,33.2443,-112.3191,Tier 1 — Top 10%
64,8848e9605dfffff,0.6525,211.0,31.5,unknown,33915,12,33.2390,-112.3017,Tier 1 — Top 10%
65,8829b6d6d5fffff,0.6525,210.4,29.6,unknown,47895,12,33.5656,-112.3609,Tier 1 — Top 10%
66,8848e962e7fffff,0.6525,211.0,33.0,unknown,33864,12,33.2428,-112.3297,Tier 1 — Top 10%
67,8848ebac0bfffff,0.6522,210.9,28.8,unknown,34005,12,33.4935,-111.7683,Tier 1 — Top 10%
68,8848ebace5fffff,0.6521,210.8,29.7,unknown,33976,12,33.5322,-111.7703,Tier 1 — Top 10%
69,8848e9612bfffff,0.6521,211.0,22.1,unknown,34236,12,33.2777,-112.1950,Tier 1 — Top 10%
70,8829b6c5e1fffff,0.6520,210.1,40.9,unknown,33597,12,33.7964,-112.2155,Tier 1 — Top 10%
71,8848e96211fffff,0.6519,211.0,35.8,unknown,33768,12,33.2110,-112.3343,Tier 1 — Top 10%
72,8848eb3583fffff,0.6519,210.5,44.2,unknown,33486,12,33.7244,-111.7310,Tier 1 — Top 10%
73,8829b6d08bfffff,0.6518,210.6,13.6,unknown,79779,12,33.5474,-112.1608,Tier 1 — Top 10%
74,8848ebb427fffff,0.6515,211.2,24.9,unknown,114113,12,33.2711,-111.9105,Tier 1 — Top 10%
75,8829b6ce95fffff,0.6513,210.0,43.8,unknown,33498,12,33.8327,-112.1789,Tier 1 — Top 10%
76,8848eb3285fffff,0.6513,210.8,41.8,unknown,33566,12,33.5650,-111.6456,Tier 1 — Top 10%
77,8848eb2619fffff,0.6511,210.4,43.8,unknown,33499,12,33.7693,-111.7999,Tier 1 — Top 10%
78,8848e961bbfffff,0.6511,210.9,21.7,unknown,34247,12,33.3376,-112.2667,Tier 1 — Top 10%
79,8848ebb5c9fffff,0.6511,211.2,23.9,unknown,110272,12,33.2780,-111.9173,Tier 1 — Top 10%
80,8848e96135fffff,0.6511,211.0,20.8,unknown,34280,12,33.2929,-112.1980,Tier 1 — Top 10%
81,8848ebbac3fffff,0.6510,211.4,44.9,unknown,33461,12,33.2178,-111.6770,Tier 1 — Top 10%
82,8848eb3581fffff,0.6509,210.5,44.1,unknown,33488,12,33.7175,-111.7242,Tier 1 — Top 10%
83,8848e962edfffff,0.6509,211.0,34.0,unknown,33830,12,33.2276,-112.3267,Tier 1 — Top 10%
84,8829b6d2d5fffff,0.6509,210.7,11.5,unknown,80733,12,33.4808,-112.1914,Tier 1 — Top 10%
85,8829b6d0c3fffff,0.6508,210.6,12.1,unknown,70507,12,33.5323,-112.1578,Tier 1 — Top 10%
86,8848eb3699fffff,0.6508,210.5,30.6,unknown,33946,12,33.6529,-111.8538,Tier 1 — Top 10%
87,8848ebb729fffff,0.6508,211.3,32.9,unknown,59614,12,33.2065,-111.8708,Tier 1 — Top 10%
88,8848eba151fffff,0.6507,211.2,35.9,unknown,87993,12,33.3296,-111.7148,Tier 1 — Top 10%
89,8848ebb631fffff,0.6507,211.2,27.7,unknown,34044,12,33.2166,-111.9653,Tier 1 — Top 10%
90,8848ebb68dfffff,0.6507,211.2,24.6,unknown,34148,12,33.2342,-112.0068,Tier 1 — Top 10%
91,8848ebb73bfffff,0.6505,211.3,29.5,unknown,68586,12,33.2256,-111.9017,Tier 1 — Top 10%
92,8848e968ddfffff,0.6504,210.9,13.0,unknown,59037,12,33.3664,-112.1743,Tier 1 — Top 10%
93,8848e962e3fffff,0.6503,211.0,33.8,unknown,33836,12,33.2413,-112.3403,Tier 1 — Top 10%
94,8848eba8d5fffff,0.6503,211.0,39.3,unknown,33649,12,33.4475,-111.6503,Tier 1 — Top 10%
95,8848e96163fffff,0.6503,211.0,23.4,unknown,34190,12,33.2625,-112.1920,Tier 1 — Top 10%
96,8848e96de5fffff,0.6502,210.7,13.4,unknown,54680,12,33.4695,-112.2164,Tier 1 — Top 10%
97,8848e96239fffff,0.6501,211.0,34.2,unknown,33821,12,33.2140,-112.3131,Tier 1 — Top 10%
98,8848ebac1dfffff,0.6501,210.9,28.3,unknown,36311,12,33.5004,-111.7750,Tier 1 — Top 10%
99,8848e96d4bfffff,0.6500,210.8,13.9,unknown,49993,12,33.4073,-112.2151,Tier 1 — Top 10%
100,8848ebad39fffff,0.6500,210.9,36.9,unknown,33732,12,33.5205,-111.6861,Tier 1 — Top 10%
101,8848ebadc5fffff,0.6500,210.8,34.0,unknown,33829,12,33.5312,-111.7210,Tier 1 — Top 10%
102,8848ebb5c1fffff,0.6500,211.1,23.4,unknown,123238,12,33.2863,-111.9135,Tier 1 — Top 10%
103,8848e96165fffff,0.6500,211.0,23.2,unknown,34196,12,33.2572,-112.1746,Tier 1 — Top 10%
104,8848ebad31fffff,0.6498,210.9,37.4,unknown,33714,12,33.5288,-111.6823,Tier 1 — Top 10%
105,8829b6c1a5fffff,0.6496,210.3,32.3,unknown,33888,12,33.7365,-112.0341,Tier 1 — Top 10%
106,8848eb26ddfffff,0.6496,210.3,44.3,unknown,33481,12,33.7951,-111.8377,Tier 1 — Top 10%
107,8848e978a7fffff,0.6496,211.1,23.8,unknown,34174,12,33.2397,-112.1331,Tier 1 — Top 10%
108,8848ebb1a3fffff,0.6496,211.3,39.7,unknown,46502,12,33.2424,-111.7253,Tier 1 — Top 10%
109,8829b6c43dfffff,0.6493,210.1,39.3,unknown,33649,12,33.7669,-112.2589,Tier 1 — Top 10%
110,8848eb36d3fffff,0.6493,210.6,29.6,unknown,33977,12,33.6446,-111.8576,Tier 1 — Top 10%
111,8848ebb6c7fffff,0.6493,211.2,25.4,unknown,34120,12,33.2258,-112.0106,Tier 1 — Top 10%
112,8848e9622bfffff,0.6493,211.1,33.7,unknown,33839,12,33.2087,-112.2957,Tier 1 — Top 10%
113,8829b6cf21fffff,0.6493,210.2,38.7,unknown,33670,12,33.7933,-112.0179,Tier 1 — Top 10%
114,8848eba6c9fffff,0.6492,210.9,10.1,unknown,106334,12,33.3737,-112.0122,Tier 1 — Top 10%
115,8848ebb423fffff,0.6490,211.2,24.4,unknown,97621,12,33.2696,-111.9211,Tier 1 — Top 10%
116,8829b6cf51fffff,0.6490,210.2,35.8,unknown,33767,12,33.7706,-112.0682,Tier 1 — Top 10%
117,8829b6cf53fffff,0.6488,210.2,36.6,unknown,33741,12,33.7774,-112.0750,Tier 1 — Top 10%
118,8848e96355fffff,0.6488,211.1,32.2,unknown,33891,12,33.1996,-112.2504,Tier 1 — Top 10%
119,8848ebb681fffff,0.6488,211.2,23.7,unknown,34178,12,33.2410,-112.0136,Tier 1 — Top 10%
120,8848e962e1fffff,0.6485,211.0,33.9,unknown,33833,12,33.2345,-112.3335,Tier 1 — Top 10%
